date,Adj Close,Close,High,Low,Open,Volume,title,description,url,source,publishedAt,title_sentiment_hf,description_sentiment_hf
,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,
2024-10-25,231.1556854248047,231.41000366210938,233.22000122070312,229.57000732421875,229.74000549316406,38802300,Warren Buffett Sells Over Half of Berkshire's Apple Stake,"Buffett Cuts Apple Holdings by 56%, Eyes Major Reverse Stock Split in 2024",https://finance.yahoo.com/news/warren-buffett-sells-over-half-153456314.html,Yahoo Entertainment,2024-10-25 15:34:56+00:00,NEGATIVE,NEGATIVE
2024-10-28,233.14349365234375,233.39999389648438,234.72999572753906,232.5500030517578,233.32000732421875,36087100,"Apple Reveals the New 2024 iMac: Familiar on the Outside, but With New Power Inside","Apple showed off a new 24-inch iMac with a variety of color options, though there's still no option for a M4 Pro chip.",https://gizmodo.com/apple-reveals-the-new-2024-imac-familiar-on-the-outside-but-with-new-power-inside-2000517276,Gizmodo.com,2024-10-28 15:15:08+00:00,POSITIVE,NEGATIVE
2024-10-28,233.14349365234375,233.39999389648438,234.72999572753906,232.5500030517578,233.32000732421875,36087100,"Apple Reveals the New 2024 iMac: Familiar on the Outside, but With New Power Inside","Apple showed off a new 24-inch iMac with a variety of color options, though there's still no option for a M4 Pro chip.",https://gizmodo.com/apple-reveals-the-new-2024-imac-familiar-on-the-outside-but-with-new-power-inside-2000517276,Gizmodo.com,2024-10-28 15:15:08+00:00,POSITIVE,NEGATIVE
2024-10-29,233.41319274902344,233.6699981689453,234.3300018310547,232.32000732421875,233.10000610351562,35417200,,,,,,,
2024-10-30,229.8471221923828,230.10000610351562,233.47000122070312,229.5500030517578,232.61000061035156,47070900,Deck Your Halls for Less: 14 Christmas Decor Ideas Using IKEA Finds,"As the year draws to a close, the holiday season is upon us once again. Although we still have two months until Christmas, studies have shown decorating early is actually good for your mood. The vibrant colors and twinkling lights simply trigger the release f…",https://ikeahackers.net/2024/10/christmas-decor-ideas-ikea.html,Ikeahackers.net,2024-10-30 10:00:00+00:00,NEGATIVE,POSITIVE
2024-10-31,225.66172790527344,225.91000366210938,229.8300018310547,225.3699951171875,229.33999633789062,64370100,"Stock market today: Indexes drop as tech shares slide before Apple, Amazon earnings",Indexes fell for a second day on Thursday as investors reacted to the latest tech earnings and digested the Fed's preferred inflation gauge.,https://markets.businessinsider.com/news/stocks/stock-market-today-apple-amazon-tech-earnings-microsoft-meta-iphone-2024-10,Business Insider,2024-10-31 13:40:20+00:00,NEGATIVE,NEGATIVE
2024-11-01,222.66502380371094,222.91000366210938,225.35000610351562,220.27000427246094,220.97000122070312,65276700,It's time for Samsung to step up its support game,Samsung needs to offer the same type of support its biggest competitor does.,https://www.androidcentral.com/phones/we-need-more-samsung-stores,Android Central,2024-11-01 18:12:39+00:00,NEGATIVE,NEGATIVE
2024-11-04,221.76600646972656,222.00999450683594,222.7899932861328,219.7100067138672,220.99000549316406,44944500,Roborock Qrevo Curv Review: Literally Climbing to the Top of the Robot Vacuum Rankings,"The Roborock Qrevo Curv has unbeatable suction power, corner sweeping, extendable mops, and the ability to vault over thresholds. This vacuum goes places others can’t.",https://gizmodo.com/roborock-qrevo-curv-review-2000518836,Gizmodo.com,2024-11-04 17:00:13+00:00,NEGATIVE,POSITIVE
2024-11-05,223.2044219970703,223.4499969482422,223.9499969482422,221.13999938964844,221.8000030517578,28111300,"Amazon Slashes The Price Of The Dyson Outsize, Featuring XL Capacity For Larger Homes","If you have a large home, a Dyson ""Outsize"" is a must-have for efficient cleaning.",https://gizmodo.com/amazon-slashes-the-price-of-the-dyson-outsize-featuring-xl-capacity-for-larger-homes-2000520541,Gizmodo.com,2024-11-05 12:40:16+00:00,NEGATIVE,POSITIVE
2024-11-06,222.47523498535156,222.72000122070312,226.07000732421875,221.19000244140625,222.61000061035156,54561100,"With Nearly 35% Off, This MacBook Pro M3 Is at a Record Low Price on Amazon Before Black Friday",$500 Off On A MacBook Pro M3 Is Unprecedented.,https://gizmodo.com/with-nearly-35-off-this-macbook-pro-m3-is-at-a-record-low-price-on-amazon-before-black-friday-2000521082,Gizmodo.com,2024-11-06 14:48:05+00:00,NEGATIVE,NEGATIVE
2024-11-06,222.47523498535156,222.72000122070312,226.07000732421875,221.19000244140625,222.61000061035156,54561100,"With Nearly 35% Off, This MacBook Pro M3 Is at a Record Low Price on Amazon Before Black Friday",$500 Off On A MacBook Pro M3 Is Unprecedented.,https://gizmodo.com/with-nearly-35-off-this-macbook-pro-m3-is-at-a-record-low-price-on-amazon-before-black-friday-2000521082,Gizmodo.com,2024-11-06 14:48:05+00:00,NEGATIVE,NEGATIVE
2024-11-07,227.22999572753906,227.47999572753906,227.8800048828125,224.57000732421875,224.6300048828125,42137700,,,,,,,
2024-11-08,226.9600067138672,226.9600067138672,228.66000366210938,226.41000366210938,227.1699981689453,38328800,[Removed],[Removed],https://removed.com,[Removed],2024-11-08 16:14:04+00:00,NEGATIVE,NEGATIVE
2024-11-08,226.9600067138672,226.9600067138672,228.66000366210938,226.41000366210938,227.1699981689453,38328800,[Removed],[Removed],https://removed.com,[Removed],2024-11-08 16:14:04+00:00,NEGATIVE,NEGATIVE
2024-11-11,224.22999572753906,224.22999572753906,225.6999969482422,221.5,225.0,42005600,"AirTags See a Second Price Drop, Now at a Record Low on Amazon Ahead Of Black Friday",This is the lowest price ever seen for a single AirTag.,https://gizmodo.com/airtags-see-a-second-price-drop-now-at-a-record-low-on-amazon-ahead-of-black-friday-2000522983,Gizmodo.com,2024-11-11 14:51:01+00:00,NEGATIVE,NEGATIVE
2024-11-12,224.22999572753906,224.22999572753906,225.58999633789062,223.36000061035156,224.5500030517578,40398300,[Removed],[Removed],https://removed.com,[Removed],2024-11-12 15:35:44+00:00,NEGATIVE,NEGATIVE
2024-11-12,224.22999572753906,224.22999572753906,225.58999633789062,223.36000061035156,224.5500030517578,40398300,[Removed],[Removed],https://removed.com,[Removed],2024-11-12 15:35:44+00:00,NEGATIVE,NEGATIVE
2024-11-13,225.1199951171875,225.1199951171875,226.64999389648438,222.75999450683594,224.00999450683594,48566200,20 Best Early Black Friday Deals of 2024 to Shop Right Now,"It doesn’t officially arrive until November 29, but the Black Friday deals have already begun. Shop steep discounts on gear tested and approved by our editors.",https://www.wired.com/story/early-black-friday-deals-2024/,Wired,2024-11-13 16:01:00+00:00,POSITIVE,NEGATIVE
2024-11-14,228.22000122070312,228.22000122070312,228.8699951171875,225.0,225.02000427246094,44923900,"Years later, Spotify still says it's working on 'Super Premium' with lossless audio",Spotify wants you to pay more for features that are already included by its competitors.,https://www.androidcentral.com/apps-software/years-later-spotify-still-says-its-working-on-super-premium-with-lossless-audio,Android Central,2024-11-14 19:22:29+00:00,NEGATIVE,NEGATIVE
2024-11-15,225.0,225.0,226.9199981689453,224.27000427246094,226.39999389648438,47923700,,,,,,,
2024-11-18,228.02000427246094,228.02000427246094,229.74000549316406,225.1699981689453,225.25,44686000,,,,,,,
2024-11-19,228.27999877929688,228.27999877929688,230.16000366210938,226.66000366210938,226.97999572753906,36211800,"Black Friday Apple deals 2024: The best Apple sales on iPads, AirPods, Apple Watches and MacBooks","Apple devices have a few things in common: they’re well-designed, solidly built and easily connect with one another. But chances are, if it bears the Apple logo, it’s not cheap. That’s why promos like Black Friday are always worth checking out if you’re in th…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_5b50f93c-f2e5-4f39-87c2-8667512a5599,Yahoo Entertainment,2024-11-19 16:51:43+00:00,POSITIVE,POSITIVE
2024-11-19,228.27999877929688,228.27999877929688,230.16000366210938,226.66000366210938,226.97999572753906,36211800,"Black Friday Apple deals 2024: The best Apple sales on iPads, AirPods, Apple Watches and MacBooks","Apple devices have a few things in common: they’re well-designed, solidly built and easily connect with one another. But chances are, if it bears the Apple logo, it’s not cheap. That’s why promos like Black Friday are always worth checking out if you’re in th…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_5b50f93c-f2e5-4f39-87c2-8667512a5599,Yahoo Entertainment,2024-11-19 16:51:43+00:00,POSITIVE,POSITIVE
2024-11-20,229.0,229.0,229.92999267578125,225.88999938964844,228.05999755859375,35169600,,,,,,,
2024-11-21,228.52000427246094,228.52000427246094,230.16000366210938,225.7100067138672,228.8800048828125,42108300,"Black Friday Apple deals 2024: The best Apple sales on iPads, AirPods, Apple Watches, MacBooks and AirTags","Between the ”Let Loose” iPad event
 in May, the iPhone 16 “It’s Glowtime” event
 in September and the Mac Week non-event
 in October, Apple has been busy releasing a slew of new iPads, Macs, Apple Watches, MacBooks and more for 2024. If you’ve been waiting…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_eaa3e088-3fab-41b9-a1e1-0b8620ef792b,Yahoo Entertainment,2024-11-21 15:48:13+00:00,POSITIVE,NEGATIVE
2024-11-21,228.52000427246094,228.52000427246094,230.16000366210938,225.7100067138672,228.8800048828125,42108300,"Black Friday Apple deals 2024: The best Apple sales on iPads, AirPods, Apple Watches, MacBooks and AirTags","Between the ”Let Loose” iPad event
 in May, the iPhone 16 “It’s Glowtime” event
 in September and the Mac Week non-event
 in October, Apple has been busy releasing a slew of new iPads, Macs, Apple Watches, MacBooks and more for 2024. If you’ve been waiting…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_eaa3e088-3fab-41b9-a1e1-0b8620ef792b,Yahoo Entertainment,2024-11-21 15:48:13+00:00,POSITIVE,NEGATIVE
2024-11-22,229.8699951171875,229.8699951171875,230.72000122070312,228.05999755859375,228.05999755859375,38153300,"Apple’s AirPods Pro 2 Are Almost 40% Off, And This Is Not a Mistake In Pricing","At this price, it's truly a great deal.",https://gizmodo.com/apples-airpods-pro-2-are-almost-40-off-and-this-is-not-a-mistake-pricing-2000528073,Gizmodo.com,2024-11-22 10:28:55+00:00,POSITIVE,POSITIVE
